designation,comapany,employeecount,followers,level,totalapplicants,location,industry
Data Analytics Intern,Unified Mentor,51-200 employees,"42,049 followers",Internship,India · 3 hours ago · 10 applicants,India,E-Learning Providers 51-200 employees 322 on LinkedIn
Python Developer,Tata Consultancy Services,"10,001+ employees","15,234,184 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · 1 week ago · Over 100 applicants","Delhi, India","IT Services and IT Consulting 10,001+ employees 595,486 on LinkedIn"
Software Analyst - Power BI,Bechtel Corporation,"10,001+ employees","1,085,287 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, Delhi, India · Reposted 3 weeks ago · Over 100 applicants","Delhi, Delhi, India","Construction 10,001+ employees 24,791 on LinkedIn"
Postgres DB,Tata Consultancy Services,"10,001+ employees","15,234,184 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · 2 weeks ago · 40 applicants","Delhi, India","IT Services and IT Consulting 10,001+ employees 595,486 on LinkedIn"
Data Analyst,Ajackus,51-200 employees,"9,025 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 3 days ago · Over 100 applicants,India,IT Services and IT Consulting 51-200 employees 121 on LinkedIn
Python Developers,"Infosoft, Inc.",201-500 employees,"25,738 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 7 hours ago · Over 100 applicants,India,Staffing and Recruiting 201-500 employees 185 on LinkedIn
Junior Software Engineer,avua,51-200 employees,"215,121 followers","Full-time
Matches your job preferences, job type is Full-time.",APAC · 4 hours ago · Over 100 applicants,APAC,"Technology, Information and Internet 51-200 employees 32 on LinkedIn"
Data Analytics Intern,Unified Mentor,51-200 employees,"42,049 followers",Internship,India · 3 hours ago · 4 applicants,India,E-Learning Providers 51-200 employees 322 on LinkedIn
Python Developer,Soul AI,11-50 employees,"8,090 followers",Part-time,India · 1 day ago · Over 100 applicants,India,Software Development 11-50 employees 177 on LinkedIn
Python Data Analyst,YO HR Consultancy,11-50 employees,"137,037 followers",Remote,India · 1 month ago · Over 100 applicants,India,Business Consulting and Services 11-50 employees 20 on LinkedIn
Data Scientist,Dreamwave AI,2-10 employees,"67,622 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 3 months ago · Over 100 applicants,India,"Technology, Information and Internet 2-10 employees 5 on LinkedIn"
Data Scientist,Arthan,51-200 employees,"120,929 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · 1 week ago · Over 100 applicants","Delhi, India",Business Consulting and Services 51-200 employees 78 on LinkedIn
Data Analyst - Associate/Analyst,FedEx ACC,"501-1,000 employees","135,244 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, Delhi, India · 4 days ago · Over 100 applicants","Delhi, Delhi, India","Technology, Information and Internet 501-1,000 employees 501 on LinkedIn"
Data Engineer (SQL) Intern,NuvoRetail,51-200 employees,"115,715 followers","Full-time
Matches your job preferences, job type is Full-time.","Dwarka, Delhi, India · 20 hours ago · Over 100 applicants","Dwarka, Delhi, India",Business Consulting and Services 51-200 employees 84 on LinkedIn
Data Analytics Intern,Unified Mentor,51-200 employees,"42,049 followers",Internship,India · 3 hours ago · 7 applicants,India,E-Learning Providers 51-200 employees 322 on LinkedIn
DB2 Database Administrator,Tata Consultancy Services,"10,001+ employees","15,234,193 followers","Full-time
Matches your job preferences, job type is Full-time.","New Delhi, Delhi, India · 2 weeks ago · 76 applicants","New Delhi, Delhi, India","IT Services and IT Consulting 10,001+ employees 595,486 on LinkedIn"
SQL Mentor,MyCaptain,51-200 employees,"57,552 followers",Remote,India · 3 months ago · Over 100 applicants,India,"E-Learning Providers 51-200 employees 1,140 on LinkedIn"
Data Engineer,Live Connections,"501-1,000 employees","329,374 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · 3 days ago · Over 100 applicants","Delhi, India","Human Resources Services 501-1,000 employees 1,270 on LinkedIn"
Data and Analytics Support Engineer,Norstella,"1,001-5,000 employees","34,550 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 2 days ago · Over 100 applicants,India,"Information Services 1,001-5,000 employees 407 on LinkedIn"
Junior Database Administrator (Fresher),ConsultBae Jobs,51-200 employees,"85,313 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 6 days ago · Over 100 applicants,India,IT Services and IT Consulting 51-200 employees 71 on LinkedIn
Remote Data Science Analyst (Python),Turing,"501-1,000 employees","357,758 followers","Full-time
Matches your job preferences, job type is Full-time.",India · Reposted 3 days ago · Over 100 applicants,India,"IT Services and IT Consulting 501-1,000 employees 2,056 on LinkedIn"
Python Data Analyst - Contract,YO HR Consultancy,11-50 employees,"137,037 followers",Remote,India · 1 month ago · Over 100 applicants,India,Business Consulting and Services 11-50 employees 20 on LinkedIn
Data Engineer,"Sky Systems, Inc. (SkySys)",11-50 employees,"7,209 followers",Contract,"Delhi, India · 2 weeks ago · Over 100 applicants","Delhi, India",IT Services and IT Consulting 11-50 employees 72 on LinkedIn
Data Analyst,WinZO,51-200 employees,"95,405 followers",Contract,"New Delhi, Delhi, India · 3 weeks ago · Over 100 applicants","New Delhi, Delhi, India",Entertainment Providers 51-200 employees 409 on LinkedIn
Data Analyst / Data Administrator,Sheffield Haworth,201-500 employees,"68,307 followers","Full-time
Matches your job preferences, job type is Full-time.",India · Reposted 2 days ago · Over 100 applicants,India,Business Consulting and Services 201-500 employees 214 on LinkedIn
Administrator,Wipro,"10,001+ employees","9,112,535 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · 2 weeks ago · Over 100 applicants","Delhi, India","IT Services and IT Consulting 10,001+ employees 246,056 on LinkedIn"
Data Analyst,WIN Home Inspection,201-500 employees,"171,600 followers","Full-time
Matches your job preferences, job type is Full-time.",Greater Delhi Area · Reposted 4 days ago · Over 100 applicants,Greater Delhi Area,Consumer Services 201-500 employees 439 on LinkedIn
Analyst,Wishup.co,201-500 employees,"95,557 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 4 hours ago · 21 applicants,India,Business Consulting and Services 201-500 employees 327 on LinkedIn
Partner Growth Executive,Hudle,51-200 employees,"43,543 followers","Full-time
Matches your job preferences, job type is Full-time.","New Delhi, Delhi, India · 2 months ago · Over 100 applicants","New Delhi, Delhi, India","Health, Wellness & Fitness 51-200 employees 89 on LinkedIn"
Data Analyst,Fresh Prints,201-500 employees,"57,157 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 1 week ago · Over 100 applicants,India,"Retail Apparel and Fashion 201-500 employees 1,049 on LinkedIn"
Data analyst_Dream hiring,CodersBrain,201-500 employees,"318,203 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 4 months ago · Over 100 applicants,India,IT Services and IT Consulting 201-500 employees 362 on LinkedIn
Senior Dotnet Developer,Dhampur Bio Organics Ltd.,"1,001-5,000 employees","8,737 followers","Full-time
Matches your job preferences, job type is Full-time.","New Delhi, Delhi, India · 3 weeks ago · Over 100 applicants","New Delhi, Delhi, India","Food and Beverage Services 1,001-5,000 employees 287 on LinkedIn"
WeCredit - Python Developer - Flask/Django,WeCredit,201-500 employees,"1,413 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, Delhi, India · 3 weeks ago · Over 100 applicants","Delhi, Delhi, India",Financial Services 201-500 employees 85 on LinkedIn
Data Scientist,bluCognition,201-500 employees,"88,353 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 1 week ago · Over 100 applicants,India,Information Technology & Services 201-500 employees 230 on LinkedIn
Research Analyst,Turing,"501-1,000 employees","357,758 followers",Contract,India · 2 days ago · Over 100 applicants,India,"IT Services and IT Consulting 501-1,000 employees 2,056 on LinkedIn"
Manager - Data Science,Axtria - Ingenious Insights,"1,001-5,000 employees","241,113 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · 3 weeks ago · 12 applicants","Delhi, India","Software Development 1,001-5,000 employees 3,709 on LinkedIn"
Solutions Architect : Data & AI,Databricks,"5,001-10,000 employees","689,713 followers",Mid-Senior level,"Delhi, India · Reposted 3 weeks ago · Over 100 applicants","Delhi, India","Software Development 5,001-10,000 employees 8,782 on LinkedIn"
Software Engineer-C++ Python,ITSource Technologies Limited,"1,001-5,000 employees","18,612 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, Delhi, India · 3 hours ago · 2 applicants","Delhi, Delhi, India","IT Services and IT Consulting 1,001-5,000 employees 400 on LinkedIn"
Python Data Engineer/ Immediate joiner(Python- Airflow-SQL),Tech Mahindra,"10,001+ employees","6,057,078 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 2 weeks ago · Over 100 applicants,India,"IT Services and IT Consulting 10,001+ employees 161,960 on LinkedIn"
Business Analyst,ConsultBae Jobs,51-200 employees,"85,323 followers",Remote,India · 23 hours ago · Over 100 applicants,India,IT Services and IT Consulting 51-200 employees 71 on LinkedIn
Analyst,Barclays,"10,001+ employees","1,766,451 followers",Associate,"Delhi, Delhi, India · 2 weeks ago · Over 100 applicants","Delhi, Delhi, India","Financial Services 10,001+ employees 71,400 on LinkedIn"
Machine Learning Lead,,,,"Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · 5 days ago · Over 100 applicants","Delhi, India",Software Development 51-200 employees 72 on LinkedIn
Manager - Data Science,Axtria - Ingenious Insights,"1,001-5,000 employees","241,113 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · 3 weeks ago · 13 applicants","Delhi, India","Software Development 1,001-5,000 employees 3,709 on LinkedIn"
Innefu Labs - Python Developer - Flask/Django,Innefu Labs Pvt. Ltd.,51-200 employees,"8,683 followers",Entry level,"Delhi, Delhi, India · 3 months ago · 74 applicants","Delhi, Delhi, India",IT Services and IT Consulting 51-200 employees 218 on LinkedIn
DevOps Manager,Thriwe,201-500 employees,"18,839 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · 3 weeks ago · Over 100 applicants","Delhi, India",Strategic Management Services 201-500 employees 264 on LinkedIn
Data Analyst,Aryng,11-50 employees,"38,521 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 1 month ago · Over 100 applicants,India,Business Consulting and Services 11-50 employees 29 on LinkedIn
SQL Developer,Sureminds Solutions Private Limited,"501-1,000 employees","47,893 followers",Remote,India · 6 months ago · Over 100 applicants,India,"Staffing and Recruiting 501-1,000 employees 381 on LinkedIn"
Program Manager - Monitoring & Evaluation,Fiinovation,51-200 employees,"7,521 followers","Full-time
Matches your job preferences, job type is Full-time.","South Delhi, Delhi, India · 1 month ago · Over 100 applicants","South Delhi, Delhi, India",Financial Services 51-200 employees 44 on LinkedIn
Planning/Program Controls Manager,Mace,"5,001-10,000 employees","521,160 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · Reposted 3 weeks ago · 57 applicants","Delhi, India","Construction 5,001-10,000 employees 8,467 on LinkedIn"
Senior Alfresco Platform Engineer,Neem,201-500 employees,"22,218 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · 1 week ago · 29 applicants","Delhi, India","Technology, Information and Internet 201-500 employees 140 on LinkedIn"
Python Developer,SAPster IT Consulting,11-50 employees,781 followers,"On-site
Matches your job preferences, workplace type is On-site.","Delhi, India · 1 year ago","Delhi, India",IT Services and IT Consulting 11-50 employees 83 on LinkedIn
Python Developer,SequelString AI Private Limited,11-50 employees,"1,592 followers","Hybrid
Matches your job preferences, workplace type is Hybrid.","Delhi, India · 3 months ago · Over 100 applicants","Delhi, India",IT Services and IT Consulting 11-50 employees 66 on LinkedIn
Python Developer,Doctor Insta,51-200 employees,"3,589 followers","On-site
Matches your job preferences, workplace type is On-site.","Delhi, India · 1 year ago","Delhi, India",Wellness and Fitness Services 51-200 employees 7 on LinkedIn
Software Engineering Manager,CredHive,2-10 employees,"15,347 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · 2 days ago · 29 applicants","Delhi, India",Financial Services 2-10 employees 3 on LinkedIn
AI Developer (Python),toolz4biz,11-50 employees,814 followers,"Full-time
Matches your job preferences, job type is Full-time.",India · 2 days ago · Over 100 applicants,India,"Technology, Information and Internet 11-50 employees 1 on LinkedIn"
Python developer,Indisquad,11-50 employees,"22,264 followers",Remote,India · 16 hours ago · Over 100 applicants,India,Staffing and Recruiting 11-50 employees 6 on LinkedIn
